-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in UTC
Location: Latitude  53.6103   Longitude 7.4292 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M,1981,9.1,8.48,8.68,6.99,6.71,7.98,6.69,6.14,6.68,9.2,10.6,7.39,7.88
WS50M,1982,7.46,7.79,8.31,7.85,6.3,6.5,6.51,8.07,6.9,6.94,9.94,9.77,7.69
WS50M,1983,12.87,8.07,8.93,7.35,6.98,7.03,5.97,6.26,9.77,10.63,7.63,9.52,8.43
WS50M,1984,11.8,8.6,7.96,5.67,6.81,8.1,7.17,5.52,7.97,9.17,9.53,7.91,8.02
WS50M,1985,8.43,7.34,6.95,8.21,7.13,6.76,7.27,7.67,8.32,6.88,8.81,9.3,7.76
WS50M,1986,10.31,8.4,8.55,6.62,7.23,6.47,6.59,7.48,7.38,8.57,9.99,10.17,8.15
WS50M,1987,8.94,7.55,8.73,6.35,7.49,6.58,6.87,7.42,7.38,9.0,7.47,8.01,7.66
WS50M,1988,9.8,11.59,8.55,7.12,7.83,6.18,7.7,7.28,8.97,8.45,8.84,10.63,8.57
WS50M,1989,8.7,10.61,9.56,8.02,7.02,5.37,7.42,7.48,6.88,9.33,7.77,8.26,8.03
WS50M,1990,11.09,12.88,10.3,7.94,5.92,6.11,7.88,6.68,8.5,9.51,7.51,9.66,8.64
WS50M,1991,9.71,7.88,6.78,7.36,7.13,7.91,7.31,6.89,7.37,8.62,9.18,8.85,7.92
WS50M,1992,8.69,8.86,9.62,7.5,8.22,6.66,6.44,8.43,8.1,7.99,10.41,7.7,8.22
WS50M,1993,12.66,7.37,8.33,7.61,7.08,6.63,7.84,7.21,6.9,7.72,7.46,10.79,8.15
WS50M,1994,10.91,7.64,11.06,7.67,6.74,7.84,5.48,7.25,8.05,7.84,8.56,10.07,8.27
WS50M,1995,10.59,10.86,11.28,8.44,5.93,6.95,6.38,6.7,8.33,7.38,8.41,7.31,8.19
WS50M,1996,9.64,9.12,7.96,5.75,7.17,6.6,7.14,6.63,7.68,7.79,9.58,7.42,7.7
WS50M,1997,6.54,11.63,8.14,8.32,6.54,7.05,6.01,5.81,6.78,8.39,8.53,9.82,7.77
WS50M,1998,9.69,10.26,9.37,6.94,7.1,7.17,8.18,7.63,6.91,11.58,6.87,9.82,8.46
WS50M,1999,9.46,9.76,7.2,7.65,7.49,6.61,7.0,6.67,6.98,9.68,8.41,11.53,8.2
WS50M,2000,10.14,10.77,9.49,6.76,7.37,7.88,6.63,5.55,7.22,9.58,10.05,9.56,8.41
WS50M,2001,7.53,8.61,8.5,7.64,7.4,6.64,6.53,7.25,8.1,9.29,9.08,8.22,7.89
WS50M,2002,10.06,12.15,8.63,6.91,7.09,7.63,7.58,4.96,6.85,9.02,7.17,8.83,8.05
WS50M,2003,9.24,7.14,7.0,8.22,6.71,6.64,6.72,6.6,6.13,7.88,8.5,9.37,7.52
WS50M,2004,8.84,9.04,8.9,7.09,6.75,7.77,6.63,7.57,8.89,8.69,7.99,8.19,8.02
WS50M,2005,11.79,8.83,8.78,7.41,7.08,6.57,6.45,7.15,6.81,8.18,8.16,9.14,8.03
WS50M,2006,7.87,7.63,8.36,7.58,8.65,6.24,5.34,6.67,7.66,8.98,10.41,9.8,7.93
WS50M,2007,12.9,8.66,9.51,7.45,6.66,6.42,8.04,7.4,9.1,6.64,9.86,8.65,8.44
WS50M,2008,11.53,9.07,10.54,6.77,6.71,7.06,7.73,8.01,7.59,8.99,9.31,7.6,8.41
WS50M,2009,8.3,7.85,7.78,6.63,7.95,7.43,7.38,6.89,8.33,8.82,9.81,8.19,7.95
WS50M,2010,8.31,8.36,8.25,7.31,7.29,5.61,5.85,6.96,7.95,8.72,8.19,8.21,7.58
WS50M,2011,8.03,9.99,6.91,7.66,7.8,6.82,7.69,7.3,7.96,8.84,7.74,11.44,8.17
WS50M,2012,10.69,8.6,7.44,7.22,7.05,7.71,7.12,6.58,8.51,8.26,8.24,9.29,8.06
WS50M,2013,8.9,7.47,8.87,7.48,6.53,8.0,5.24,6.8,7.04,9.36,7.92,10.6,7.86
WS50M,2014,9.96,10.29,7.8,7.33,6.92,6.45,6.59,7.44,6.75,8.12,7.73,10.68,8.0
WS50M,2015,10.64,8.22,8.85,7.18,8.18,7.0,7.74,6.21,7.74,6.47,10.75,10.95,8.33
WS50M,2016,10.1,9.64,7.54,7.13,7.47,5.85,6.51,7.1,6.34,7.0,8.0,8.12,7.56
WS50M,2017,7.54,9.49,7.89,7.97,6.89,7.44,6.3,6.61,6.73,10.29,8.32,9.79,7.93
